time,all_num_东方盛虹,all_dic_score,东方盛虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-07-23,83,35.00,0.53,59,59.00,24,-24.00
2021-07-24,13,5.00,0.67,9,9.00,4,-4.00
2021-07-25,14,6.00,0.37,10,10.00,4,-4.00
2021-07-26,48,16.00,0.35,32,32.00,16,-16.00
2021-07-27,72,16.00,0.26,44,44.00,28,-28.00
2021-07-28,46,12.00,0.62,29,29.00,17,-17.00
2021-07-29,116,34.00,0.40,75,75.00,41,-41.00
2021-07-30,73,23.00,0.36,48,48.00,25,-25.00
2021-07-31,10,6.00,0.85,8,8.00,2,-2.00
2021-08-01,15,7.00,0.42,11,11.00,4,-4.00
2021-08-02,136,28.00,0.36,82,82.00,54,-54.00
2021-08-03,63,-7.00,0.04,28,28.00,35,-35.00
2021-08-04,131,33.00,0.39,82,82.00,49,-49.00
2021-08-05,259,61.00,0.43,160,160.00,99,-99.00
2021-08-06,149,25.00,0.44,87,87.00,62,-62.00
2021-08-07,10,6.00,0.83,8,8.00,2,-2.00
2021-08-08,14,2.00,0.45,8,8.00,6,-6.00
2021-08-09,98,20.00,0.36,59,59.00,39,-39.00
2021-08-10,81,27.00,0.44,54,54.00,27,-27.00
2021-08-11,52,10.00,0.23,31,31.00,21,-21.00
2021-08-12,54,6.00,0.31,30,30.00,24,-24.00
2021-08-13,73,25.00,0.24,49,49.00,24,-24.00
2021-08-14,14,8.00,0.66,11,11.00,3,-3.00
2021-08-15,16,10.00,0.58,13,13.00,3,-3.00
2021-08-16,113,35.00,0.48,74,74.00,39,-39.00
2021-08-17,68,16.00,0.35,42,42.00,26,-26.00
2021-08-18,45,1.00,0.05,23,23.00,22,-22.00
2021-08-19,89,17.00,0.32,53,53.00,36,-36.00
2021-08-20,52,16.00,0.50,34,34.00,18,-18.00
2021-08-21,13,7.00,0.68,10,10.00,3,-3.00
2021-08-22,8,4.00,0.89,6,6.00,2,-2.00
2021-08-23,112,16.00,0.33,64,64.00,48,-48.00
2021-08-24,146,80.00,0.62,113,113.00,33,-33.00
2021-08-25,134,48.00,0.65,91,91.00,43,-43.00
2021-08-26,100,38.00,0.57,69,69.00,31,-31.00
2021-08-27,60,26.00,0.51,43,43.00,17,-17.00
2021-08-28,14,10.00,0.78,12,12.00,2,-2.00
2021-08-29,28,8.00,0.46,18,18.00,10,-10.00
2021-08-30,70,32.00,0.69,51,51.00,19,-19.00
2021-08-31,66,26.00,0.73,46,46.00,20,-20.00
2021-09-01,48,20.00,0.46,34,34.00,14,-14.00
2021-09-02,86,20.00,0.45,53,53.00,33,-33.00
2021-09-03,52,20.00,0.69,36,36.00,16,-16.00
2021-09-04,5,5.00,1.00,5,5.00,0,0.00
2021-09-05,12,4.00,0.53,8,8.00,4,-4.00
2021-09-06,69,21.00,0.41,45,45.00,24,-24.00
2021-09-07,58,24.00,0.74,41,41.00,17,-17.00
2021-09-08,48,20.00,0.26,34,34.00,14,-14.00
2021-09-09,46,22.00,0.65,34,34.00,12,-12.00
2021-09-10,58,20.00,0.60,39,39.00,19,-19.00
2021-09-11,18,4.00,0.45,11,11.00,7,-7.00
2021-09-12,15,7.00,0.64,11,11.00,4,-4.00
2021-09-13,54,24.00,0.72,39,39.00,15,-15.00
2021-09-14,71,13.00,0.40,42,42.00,29,-29.00
2021-09-15,60,14.00,0.51,37,37.00,23,-23.00
2021-09-16,100,32.00,0.45,66,66.00,34,-34.00
2021-09-17,50,12.00,0.35,31,31.00,19,-19.00
2021-09-18,7,1.00,0.32,4,4.00,3,-3.00
2021-09-19,3,1.00,0.26,2,2.00,1,-1.00
2021-09-20,3,-1.00,-0.65,1,1.00,2,-2.00
2021-09-21,11,3.00,0.48,7,7.00,4,-4.00
2021-09-22,53,1.00,0.23,27,27.00,26,-26.00
2021-09-23,163,13.00,0.29,88,88.00,75,-75.00
2021-09-24,88,12.00,0.66,50,50.00,38,-38.00
2021-09-25,12,8.00,0.83,10,10.00,2,-2.00
2021-09-26,7,3.00,0.89,5,5.00,2,-2.00
2021-09-27,83,13.00,0.66,48,48.00,35,-35.00
2021-09-28,66,6.00,0.35,36,36.00,30,-30.00
2021-09-29,160,10.00,0.18,85,85.00,75,-75.00
2021-09-30,52,36.00,0.12,44,44.00,8,-8.00
2021-10-01,9,9.00,1.00,9,9.00,0,0.00
2021-10-02,2,0.00,0.42,1,1.00,1,-1.00
2021-10-03,2,0.00,0.07,1,1.00,1,-1.00
2021-10-06,3,3.00,1.00,3,3.00,0,0.00
2021-10-07,6,2.00,0.65,4,4.00,2,-2.00
2021-10-08,105,5.00,0.14,55,55.00,50,-50.00
2021-10-09,27,9.00,0.81,18,18.00,9,-9.00
2021-10-10,10,4.00,-0.00,7,7.00,3,-3.00
2021-10-11,87,25.00,0.44,56,56.00,31,-31.00
2021-10-12,149,3.00,0.12,76,76.00,73,-73.00
