time,all_num_特一药业,all_dic_score,特一药业舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-19,12,2.00,0.18,7,7.00,5,-5.00
2022-05-20,9,5.00,0.56,7,7.00,2,-2.00
2022-05-21,2,0.00,0.59,1,1.00,1,-1.00
2022-05-22,1,1.00,1.00,1,1.00,0,0.00
2022-05-23,61,29.00,0.56,45,45.00,16,-16.00
2022-05-24,43,21.00,0.56,32,32.00,11,-11.00
2022-05-25,21,7.00,0.30,14,14.00,7,-7.00
2022-05-26,38,14.00,0.37,26,26.00,12,-12.00
2022-05-27,26,10.00,0.43,18,18.00,8,-8.00
2022-05-28,5,3.00,0.63,4,4.00,1,-1.00
2022-05-29,8,6.00,0.72,7,7.00,1,-1.00
2022-05-30,30,8.00,0.25,19,19.00,11,-11.00
2022-05-31,22,14.00,0.70,18,18.00,4,-4.00
2022-06-01,22,10.00,0.55,16,16.00,6,-6.00
2022-06-02,27,5.00,0.28,16,16.00,11,-11.00
2022-06-03,1,1.00,1.00,1,1.00,0,0.00
2022-06-06,14,10.00,0.62,12,12.00,2,-2.00
2022-06-07,27,19.00,0.75,23,23.00,4,-4.00
2022-06-08,29,25.00,0.88,27,27.00,2,-2.00
2022-06-09,80,34.00,0.51,57,57.00,23,-23.00
2022-06-10,56,44.00,0.86,50,50.00,6,-6.00
2022-06-11,3,3.00,1.00,3,3.00,0,0.00
2022-06-12,5,5.00,1.00,5,5.00,0,0.00
2022-06-13,48,38.00,0.87,43,43.00,5,-5.00
2022-06-14,26,14.00,0.65,20,20.00,6,-6.00
2022-06-15,18,6.00,0.35,12,12.00,6,-6.00
2022-06-16,15,9.00,0.66,12,12.00,3,-3.00
2022-06-17,32,24.00,0.78,28,28.00,4,-4.00
2022-06-18,1,-1.00,-1.00,0,0.00,1,-1.00
2022-06-19,2,2.00,1.00,2,2.00,0,0.00
2022-06-20,36,20.00,0.67,28,28.00,8,-8.00
2022-06-21,20,4.00,0.17,12,12.00,8,-8.00
2022-06-22,16,12.00,0.75,14,14.00,2,-2.00
2022-06-23,19,7.00,0.58,13,13.00,6,-6.00
2022-06-24,23,17.00,0.82,20,20.00,3,-3.00
2022-06-25,5,3.00,0.30,4,4.00,1,-1.00
2022-06-26,3,-1.00,-0.54,1,1.00,2,-2.00
2022-06-27,44,32.00,0.82,38,38.00,6,-6.00
2022-06-28,23,13.00,0.52,18,18.00,5,-5.00
2022-06-29,27,13.00,0.62,20,20.00,7,-7.00
2022-06-30,48,32.00,0.65,40,40.00,8,-8.00
2022-11-20,1,1.00,1.00,1,1.00,0,0.00
