time,all_num_亿联网络,all_dic_score,亿联网络舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-09-28,7,5.00,0.71,6,6.00,1,-1.00
2021-09-29,3,3.00,1.00,3,3.00,0,0.00
2021-09-30,9,3.00,0.61,6,6.00,3,-3.00
2021-10-01,1,1.00,1.00,1,1.00,0,0.00
2021-10-07,1,1.00,1.00,1,1.00,0,0.00
2021-10-08,6,-2.00,-0.22,2,2.00,4,-4.00
2021-10-10,1,1.00,1.00,1,1.00,0,0.00
2021-10-11,2,2.00,1.00,2,2.00,0,0.00
2021-10-12,1,1.00,1.00,1,1.00,0,0.00
2021-10-13,15,9.00,0.70,12,12.00,3,-3.00
2021-10-14,16,10.00,0.82,13,13.00,3,-3.00
2021-10-15,7,7.00,1.00,7,7.00,0,0.00
2021-10-16,4,2.00,0.50,3,3.00,1,-1.00
2021-10-17,5,5.00,1.00,5,5.00,0,0.00
2021-10-18,7,1.00,0.35,4,4.00,3,-3.00
2021-10-19,4,4.00,1.00,4,4.00,0,0.00
2021-10-20,4,0.00,0.06,2,2.00,2,-2.00
2021-10-21,11,1.00,0.02,6,6.00,5,-5.00
2021-10-22,12,8.00,0.80,10,10.00,2,-2.00
2021-10-23,1,1.00,1.00,1,1.00,0,0.00
2021-10-24,1,1.00,1.00,1,1.00,0,0.00
