time,all_num_粤传媒,all_dic_score,粤传媒舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-23,11,9.00,0.89,10,10.00,1,-1.00
2022-05-24,5,3.00,0.63,4,4.00,1,-1.00
2022-05-25,4,4.00,1.00,4,4.00,0,0.00
2022-05-26,31,11.00,0.39,21,21.00,10,-10.00
2022-05-27,140,52.00,0.54,96,96.00,44,-44.00
2022-05-28,29,11.00,0.46,20,20.00,9,-9.00
2022-05-29,36,16.00,0.49,26,26.00,10,-10.00
2022-05-30,204,36.00,0.31,120,120.00,84,-84.00
2022-05-31,192,20.00,0.25,106,106.00,86,-86.00
2022-06-01,222,36.00,0.24,129,129.00,93,-93.00
2022-06-02,750,134.00,0.17,442,442.00,308,-308.00
2022-06-03,102,44.00,0.46,73,73.00,29,-29.00
2022-06-04,81,21.00,0.16,51,51.00,30,-30.00
2022-06-05,80,42.00,0.72,61,61.00,19,-19.00
2022-06-06,472,104.00,0.30,288,288.00,184,-184.00
2022-06-07,550,102.00,0.30,326,326.00,224,-224.00
2022-06-08,301,39.00,0.16,170,170.00,131,-131.00
2022-06-09,245,63.00,0.42,154,154.00,91,-91.00
2022-06-10,156,-2.00,0.24,77,77.00,79,-79.00
2022-06-11,23,9.00,0.63,16,16.00,7,-7.00
2022-06-12,11,3.00,0.04,7,7.00,4,-4.00
2022-06-13,102,14.00,0.25,58,58.00,44,-44.00
2022-06-14,90,2.00,0.09,46,46.00,44,-44.00
2022-06-15,62,20.00,0.49,41,41.00,21,-21.00
2022-06-16,77,7.00,0.25,42,42.00,35,-35.00
2022-06-17,75,5.00,0.16,40,40.00,35,-35.00
2022-06-18,4,-2.00,-0.38,1,1.00,3,-3.00
2022-06-19,11,5.00,0.74,8,8.00,3,-3.00
2022-06-20,47,3.00,0.11,25,25.00,22,-22.00
2022-06-21,27,7.00,0.26,17,17.00,10,-10.00
2022-06-22,70,10.00,0.27,40,40.00,30,-30.00
2022-06-23,36,4.00,-0.00,20,20.00,16,-16.00
2022-06-24,29,-1.00,-0.00,14,14.00,15,-15.00
2022-06-25,12,10.00,0.91,11,11.00,1,-1.00
2022-06-26,2,0.00,-0.20,1,1.00,1,-1.00
2022-06-27,27,17.00,0.49,22,22.00,5,-5.00
2022-06-28,17,7.00,0.62,12,12.00,5,-5.00
2022-06-29,22,8.00,0.33,15,15.00,7,-7.00
2022-06-30,18,6.00,0.35,12,12.00,6,-6.00
