time,all_num_皖通高速,all_dic_score,皖通高速舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-24,2,2.00,1.00,2,2.00,0,0.00
2022-05-25,4,4.00,1.00,4,4.00,0,0.00
2022-05-26,6,6.00,1.00,6,6.00,0,0.00
2022-05-27,3,3.00,1.00,3,3.00,0,0.00
2022-05-28,2,2.00,1.00,2,2.00,0,0.00
2022-05-29,4,4.00,1.00,4,4.00,0,0.00
2022-05-30,1,1.00,1.00,1,1.00,0,0.00
2022-05-31,6,4.00,0.62,5,5.00,1,-1.00
2022-06-01,6,6.00,1.00,6,6.00,0,0.00
2022-06-02,2,2.00,1.00,2,2.00,0,0.00
2022-06-03,2,2.00,1.00,2,2.00,0,0.00
2022-06-05,2,2.00,1.00,2,2.00,0,0.00
2022-06-06,5,5.00,1.00,5,5.00,0,0.00
2022-06-07,3,3.00,1.00,3,3.00,0,0.00
2022-06-08,2,2.00,1.00,2,2.00,0,0.00
2022-06-09,2,2.00,1.00,2,2.00,0,0.00
2022-06-10,5,5.00,1.00,5,5.00,0,0.00
2022-06-11,4,4.00,1.00,4,4.00,0,0.00
2022-06-12,2,2.00,1.00,2,2.00,0,0.00
2022-06-13,1,1.00,1.00,1,1.00,0,0.00
2022-06-14,5,5.00,1.00,5,5.00,0,0.00
2022-06-15,5,5.00,1.00,5,5.00,0,0.00
2022-06-16,3,3.00,1.00,3,3.00,0,0.00
2022-06-17,3,3.00,1.00,3,3.00,0,0.00
2022-06-18,3,3.00,1.00,3,3.00,0,0.00
2022-06-19,3,3.00,1.00,3,3.00,0,0.00
2022-06-21,1,1.00,1.00,1,1.00,0,0.00
2022-06-22,6,6.00,1.00,6,6.00,0,0.00
2022-06-23,4,4.00,1.00,4,4.00,0,0.00
2022-06-24,5,5.00,1.00,5,5.00,0,0.00
2022-06-25,2,2.00,1.00,2,2.00,0,0.00
2022-06-26,2,2.00,1.00,2,2.00,0,0.00
2022-06-27,3,1.00,0.65,2,2.00,1,-1.00
2022-06-28,4,4.00,1.00,4,4.00,0,0.00
2022-06-29,4,4.00,1.00,4,4.00,0,0.00
2022-06-30,8,8.00,1.00,8,8.00,0,0.00
2022-07-01,1,1.00,1.00,1,1.00,0,0.00
2022-07-02,1,1.00,1.00,1,1.00,0,0.00
2022-07-05,2,2.00,1.00,2,2.00,0,0.00
2022-07-06,2,2.00,1.00,2,2.00,0,0.00
2022-07-07,2,2.00,1.00,2,2.00,0,0.00
2022-07-08,3,3.00,1.00,3,3.00,0,0.00
2022-07-09,1,1.00,1.00,1,1.00,0,0.00
