time,all_num_维科技术,all_dic_score,维科技术舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-05-24,89,43.00,0.60,66,66.00,23,-23.00
2021-05-25,77,49.00,0.49,63,63.00,14,-14.00
2021-05-26,61,29.00,0.48,45,45.00,16,-16.00
2021-05-27,49,21.00,0.51,35,35.00,14,-14.00
2021-05-28,32,10.00,0.35,21,21.00,11,-11.00
2021-05-29,3,1.00,-0.27,2,2.00,1,-1.00
2021-05-30,7,-1.00,-0.12,3,3.00,4,-4.00
2021-05-31,19,13.00,0.81,16,16.00,3,-3.00
2021-06-01,30,10.00,0.31,20,20.00,10,-10.00
2021-06-02,31,11.00,0.28,21,21.00,10,-10.00
2021-06-03,103,37.00,0.46,70,70.00,33,-33.00
2021-06-04,36,18.00,0.57,27,27.00,9,-9.00
2021-06-05,2,2.00,1.00,2,2.00,0,0.00
2021-06-06,1,1.00,1.00,1,1.00,0,0.00
2021-06-07,17,7.00,0.26,12,12.00,5,-5.00
2021-06-08,7,3.00,0.19,5,5.00,2,-2.00
2021-06-09,18,12.00,0.70,15,15.00,3,-3.00
2021-06-10,17,7.00,0.65,12,12.00,5,-5.00
2021-06-11,14,6.00,0.39,10,10.00,4,-4.00
2021-06-12,6,4.00,0.68,5,5.00,1,-1.00
2021-06-13,2,0.00,0.22,1,1.00,1,-1.00
2021-06-14,2,2.00,1.00,2,2.00,0,0.00
2021-06-15,11,7.00,0.70,9,9.00,2,-2.00
2021-06-16,9,5.00,0.57,7,7.00,2,-2.00
2021-06-17,11,3.00,0.30,7,7.00,4,-4.00
