time,all_num_星宇股份,all_dic_score,星宇股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-24,15,7.00,0.48,11,11.00,4,-4.00
2022-05-25,8,6.00,0.70,7,7.00,1,-1.00
2022-05-26,13,3.00,-0.40,8,8.00,5,-5.00
2022-05-27,6,6.00,1.00,6,6.00,0,0.00
2022-05-28,2,2.00,1.00,2,2.00,0,0.00
2022-05-29,2,2.00,1.00,2,2.00,0,0.00
2022-05-30,3,1.00,0.23,2,2.00,1,-1.00
2022-05-31,8,6.00,0.59,7,7.00,1,-1.00
2022-06-01,14,14.00,1.00,14,14.00,0,0.00
2022-06-02,10,8.00,0.88,9,9.00,1,-1.00
2022-06-03,2,2.00,1.00,2,2.00,0,0.00
2022-06-05,4,4.00,1.00,4,4.00,0,0.00
2022-06-06,5,3.00,0.58,4,4.00,1,-1.00
2022-06-07,5,5.00,1.00,5,5.00,0,0.00
2022-06-08,3,3.00,1.00,3,3.00,0,0.00
2022-06-09,5,1.00,0.08,3,3.00,2,-2.00
2022-06-10,7,7.00,1.00,7,7.00,0,0.00
2022-06-11,2,2.00,1.00,2,2.00,0,0.00
2022-06-12,2,2.00,1.00,2,2.00,0,0.00
2022-06-13,6,0.00,-0.11,3,3.00,3,-3.00
2022-06-14,8,6.00,0.44,7,7.00,1,-1.00
2022-06-15,3,3.00,1.00,3,3.00,0,0.00
2022-06-16,2,2.00,1.00,2,2.00,0,0.00
2022-06-17,5,5.00,1.00,5,5.00,0,0.00
2022-06-18,1,1.00,1.00,1,1.00,0,0.00
2022-06-19,3,3.00,1.00,3,3.00,0,0.00
2022-06-21,7,5.00,0.58,6,6.00,1,-1.00
2022-06-22,5,1.00,0.05,3,3.00,2,-2.00
2022-06-23,7,5.00,0.66,6,6.00,1,-1.00
2022-06-24,5,5.00,1.00,5,5.00,0,0.00
2022-06-25,2,2.00,1.00,2,2.00,0,0.00
2022-06-26,3,1.00,-0.07,2,2.00,1,-1.00
2022-06-28,3,1.00,-0.09,2,2.00,1,-1.00
2022-06-29,7,5.00,0.57,6,6.00,1,-1.00
2022-06-30,6,6.00,1.00,6,6.00,0,0.00
